DIFCOrigin-512-TT100k_86532_00-582.jpg	label:	prohibit	1.0	[454.33373165130615, 313.73717212677, 477.53260135650635, 338.14124584198]
DIFCOrigin-512-TT100k_86532_00-582.jpg	label:	prohibit	0.998	[479.4850149154663, 314.5587902069092, 502.80911350250244, 338.7473621368408]
DIFCOrigin-512-TT100k_86532_00-582.jpg	label:	prohibit	0.013	[-8.832818984985352, 332.4262580871582, 46.287153244018555, 405.05952072143555]
DIFCOrigin-512-TT100k_86532_10-894.jpg	label:	prohibit	1.0	[76.18591499328613, 467.07825469970703, 99.87354850769043, 492.3298873901367]
DIFCOrigin-512-TT100k_86532_10-894.jpg	label:	prohibit	1.0	[27.421446800231934, 466.80761337280273, 51.62540531158447, 492.035831451416]
DIFCOrigin-512-TT100k_86532_10-894.jpg	label:	prohibit	0.999	[53.87150573730469, 467.59625816345215, 76.91476440429688, 491.6827335357666]
DIFCOrigin-512-TT100k_86532_10-894.jpg	label:	prohibit	0.028	[154.65653800964355, 494.67878770828247, 169.47090339660645, 509.9632411003113]
DIFCOrigin-512-TT100k_86532_20-520.jpg	label:	prohibit	1.0	[249.17183780670166, 374.8438129425049, 273.62674617767334, 397.53832817077637]
DIFCOrigin-512-TT100k_86532_20-520.jpg	label:	prohibit	0.998	[298.8598117828369, 374.6489610671997, 322.54710960388184, 398.65920543670654]
DIFCOrigin-512-TT100k_86532_20-520.jpg	label:	prohibit	0.998	[273.41717433929443, 375.0679597854614, 297.3719491958618, 398.6762418746948]
DIFCOrigin-512-TT100k_86532_20-520.jpg	label:	prohibit	0.024	[444.7617883682251, 427.5453100204468, 466.70323848724365, 453.596474647522]
NegaOrigin-512-TT100k_86532_4-062.jpg	label:	prohibit	0.043	[85.57666635513306, 403.4201431274414, 99.92495107650757, 419.5129623413086]
DIFCOrigin-512-TT100k_68268_00-985.jpg	label:	prohibit	0.984	[365.8001308441162, 436.8972396850586, 423.6772861480713, 501.79898834228516]
DIFCOrigin-512-TT100k_68268_00-985.jpg	label:	prohibit	0.973	[431.8482322692871, 431.53896713256836, 488.46542739868164, 504.8677101135254]
DIFCOrigin-512-TT100k_68268_00-985.jpg	label:	prohibit	0.027	[498.3981924057007, 444.4276466369629, 516.2180185317993, 485.25979232788086]
DIFCOrigin-512-TT100k_68268_10-923.jpg	label:	prohibit	0.998	[297.3203067779541, 101.74283409118652, 358.5162410736084, 163.98214149475098]
